"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"China","CHN","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","2812.9","","",
"Cote d'Ivoire","CIV","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","76.84","","",
"Cameroon","CMR","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","273","","",
"Congo, Dem. Rep.","COD","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","900","","",
"Congo, Rep.","COG","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","222","","",
"Colombia","COL","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","2145","","",
"Comoros","COM","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","1.2","","",
"Cabo Verde","CPV","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.3","","",
"Costa Rica","CRI","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","113","","",
"Caribbean small states","CSS","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","351.679","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","371.579","","",
"Cuba","CUB","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","38.12","","",
"Curacao","CUW","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","0.78","","",
"Czechia","CZE","Renewable internal freshwater resources, total (billion cubic meters)","ER.H2O.INTR.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.15","13.15","13.15","13.15","13.15","13.15","13.15","13.15","13.15","13.15","13.15","13.15","13.15","13.15","13.15","13.15","13.15","13.15","13.15","13.15","13.15","13.15","13.15","13.15","13.15","13.15","13.15","","",
