"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Austria","AUT","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","4.14716005325317","4.28235006332397","4.45015001296997","4.51547002792358","4.65594005584717","5.12796020507813","5.23765993118286","4.95401000976563","5.1597900390625","5.03815984725952","5.00896978378296","5.36780977249146","5.36298990249634","5.30378007888794","5.29446983337402","5.29721021652222","5.49995994567871","5.3761100769043","5.19073009490967","5.01816987991333","4.95725011825562","5.10321998596191","5.2969799041748","5.2519998550415","","5.42834997177124","5.25990009307861","","6.10374021530151","6.11233997344971","5.58880996704102","5.57547998428345","5.52213001251221","5.36183023452759","5.30243015289307","5.24937009811401","5.22652006149292","5.14690017700195","5.26395988464355","5.73024988174438","5.70047998428345","5.59226989746094","5.48040008544922","5.54711008071899","5.44761991500854","5.45658016204834","5.4796199798584","5.37159013748169","5.22452020645142","5.21291017532349","5.07000017166138","",
"Azerbaijan","AZE","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.05797004699707","","","3.33736991882324","3.51256990432739","","3.38001990318298","4.21214008331299","3.85399007797241","3.50342011451721","3.15445995330811","3.2861499786377","3.44770002365112","2.97462010383606","2.55552005767822","2.5492799282074","2.44092988967896","3.22430992126465","2.78062009811401","2.43564009666443","2.06763005256653","2.44213008880615","2.63303995132446","2.95167994499207","2.90340995788574","2.47381997108459","2.45543003082275","2.68108010292053","4.33204984664917","",
"Burundi","BDI","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","2.80335998535156","","3.34676003456116","","","","","","","","","3.35932993888855","3.49365997314453","3.8058500289917","","4.565269947052","5.01511001586914","4.08324003219604","","","3.41744995117188","2.64547991752625","2.90390992164612","3.00493001937866","","3.74496006965637","3.632159948349","","","5.19290018081665","6.17194986343384","6.77524995803833","6.31925010681152","6.16786003112793","5.99535989761353","6.78452014923096","6.37054014205933","4.69199991226196","4.76202011108398","5.07864999771118","5.34668016433716","5.04097986221313","",
"Belgium","BEL","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","5.76281976699829","5.73104000091553","5.98883008956909","5.43633985519409","5.38035011291504","5.31063985824585","5.4353199005127","5.31673002243042","","","","4.85229015350342","4.57712984085083","4.30072021484375","","","","","5.37231016159058","5.41103982925415","2.98866009712219","3.04947996139526","","","","","","","","","5.79585981369019","","","6.33294010162354","6.45809984207153","6.44259023666382","6.43199014663696","6.25576496124268","6.63052988052368","6.59046983718872","6.4515700340271","6.46173000335693","6.42534017562866","6.38137006759644","6.33975982666016","6.71000003814697","",
"Benin","BEN","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.74788999557495","1.92193996906281","2.11366009712219","2.36509990692139","2.15949010848999","2.28315997123718","2.56690001487732","2.6566801071167","2.56340003013611","2.36331009864807","2.77728009223938","3.08927011489868","3.67997002601624","4.39788007736206","3.56202006340027","3.3275101184845","3.161789894104","3.17298007011414","2.89910006523132","3.53558993339539","2.93161988258362","2.96519994735718","3.00365996360779","",
"Burkina Faso","BFA","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","1.67982995510101","","1.9617999792099","","","1.75448000431061","","1.76396000385284","","","1.42607998847961","","","","","","3.45110011100769","","1.44026005268097","","","","","","","","","3.94113993644714","3.98218989372253","4.07983016967773","","","3.50222992897034","3.98515009880066","3.60315990447998","4.08343982696533","4.05329990386963","3.67008996009827","","5.62846994400024","5.488609790802","5.69684982299805","5.51908016204834","",
"Bangladesh","BGD","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","1.13092994689941","0.937600016593933","1.07149994373322","1.01163995265961","1.03267002105713","1.22302997112274","1.27118003368378","1.34349000453949","1.51364004611969","","","1.51911997795105","1.42566001415253","1.63177001476288","1.69262003898621","","","","1.95246994495392","","2.13281989097595","2.12508010864258","2.17193007469177","2.01714992523193","2.06939005851746","1.94014000892639","","2.13128995895386","2.20221996307373","2.0545699596405","1.9394199848175","","2.13269996643066","2.04667067527771","1.96616005897522","2.09871673583984","1.87225413322449","2.22119998931885","2.21661949157715","1.94795548915863","1.97184658050537","2.04921746253967","2.11938500404358",
"Bulgaria","BGR","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","3.52947998046875","","","","","","","","","","4.45406007766724","5.42961978912354","5.26045989990234","4.95048999786377","4.1706600189209","2.37207007408142","2.23007988929749","","2.73942995071411","","","3.38423991203308","3.38608002662659","3.99845004081726","2.31995010375977","4.10879993438721","3.90346002578735","3.68264007568359","4.2223801612854","4.27429008483887","3.85796999931335","3.5469799041748","3.47637009620667","4.05822992324829","4.0829291343689","3.92179489135742","3.4033100605011","4.07527017593384","4.04530000686646","4.19717979431152","4.03999996185303","",
"Bahrain","BHR","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.32999992370605","2.87440991401672","2.57500004768372","2.49677991867065","3.33999991416931","3.19000005722046","3.02999997138977","2.64530992507935","2.47689008712769","2.46745991706848","2.6745400428772","2.86999988555908","2.32452011108398","2.36661005020142","2.09490990638733","2.15205001831055","",
"Bahamas, The","BHS","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.23284006118774","","","","","2.28999996185303","","2.73000001907349","2.89000010490417","2.92000007629395","2.77999997138977","2.66000008583069","2.60999989509583","2.72000002861023","2.5","2.24990010261536","2.33118009567261","2.42277002334595","2.24967002868652","2.28841996192932","2.37134003639221","2.78221988677979",
