"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bhutan","BTN","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3379","0.3379","0.3379","0.3379","0.3379","0.3379","0.3379","0.3379","0.3379","0.3379","0.3379","0.3379","","",
"Botswana","BWA","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","0.09","0.09328","0.09656","0.09984","0.10312","0.1064","0.1097","0.113","0.1231333333","0.1332666667","0.1434","0.15352","0.16364","0.17376","0.18388","0.194","0.1942909091","0.1945818182","0.1948727273","0.1951636364","0.1954545455","0.1957454545","0.1960363636","0.1963272727","0.1966181818","0.1969090909","0.1972","0.1944","0.19115","0.1879","0.1879","0.2013","0.193","0.204","0.202","","",
"Central African Republic","CAF","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0194","0.023","0.0266","0.0302","0.0338","0.0374","0.041","0.0446","0.0482","0.0518","0.0554","0.059","0.0626","0.0662","0.06746","0.06872","0.06998","0.07124","0.0725","0.0725","0.0725","0.0725","0.0725","0.0725","0.0725","0.0725","0.0725","0.0725","0.0725","0.0725","0.0725","0.0725","0.0725","","",
"Canada","CAN","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","42.2","42.7786","43.3572","43.9358","44.5117","45.091","44.515","43.939","43.363","42.787","42.211","42.1297545455","42.0485090909","41.9672636364","41.8860181818","41.8047727273","41.7235272727","41.6422818182","41.5610363636","41.4797909091","41.3985454545","41.3173","40.0573","38.7973","37.19865","35.6","36.44","37.28","36.505","35.73","35.9915","36.253","36.253","36.253","","",
"Central Europe and the Baltics","CEB","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.3391","32.50034264","32.299457867","33.263137561","32.18524069","30.848062613","","",
"Switzerland","CHE","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","2.598","2.5962","2.5944","2.5926","2.5908","2.589","2.6004","2.6118","2.6232","2.6346","2.646","2.653","2.66","2.667","2.674","2.681","2.688","2.695","2.66762","2.64024","2.61286","2.58548","2.5581","2.55008","2.54206","2.53404","2.52602","2.518","2.46665","2.4153","2.36395","2.3126","2.26125","2.2099","2.15855","2.1072","2.05585","2","1.72","1.704","1.705917","1.704","1.704","1.704","1.704","","",
"Channel Islands","CHI","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.2852","21.3666285714","22.4480571429","23.5294857143","24.6109142857","25.6923428571","26.7737714286","27.8552","28.9366285714","30.0130821429","31.0895357143","32.1307142857","33.2071428571","34.2835714286","35.36","40.8968888889","46.4257777778","51.9546666667","57.4835555556","63.0124444444","68.5413333333","74.0702222222","79.5991111111","85.128","85.128","85.128","85.128","85.128","","",
"China","CHN","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","443.7","452.0825","460.465","468.8475","477.23","481.06","484.848","488.636","492.424","496.212","500","508.4666666667","516.9333333333","525.4","529.0428571429","532.6857142857","536.3285714286","539.9714285714","543.6142857143","547.2571428571","550.9","551.54","552.18","552.82","553.46","554.1","568","568.7","576.1","583.2","586.83","595","598.8","602.8","593.4","591.8","591.8","591.8","591.8","591.8","","",
"Cote d'Ivoire","CIV","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.709","0.8393333333","0.9696666667","1.1","1.133","1.166","1.199","1.232","1.2614666667","1.2909333333","1.3204","1.3498666667","1.3793333333","1.4088","1.43688","1.46496","1.49304","1.52112","1.5492","1.5061777778","1.4621111111","1.4185666667","1.3758055556","1.3330444444","1.2902833333","1.2480444444","1.2050222222","1.162","1.162","1.162","1.162","1.162","1.162","","",
"Cameroon","CMR","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.396","0.3968","0.3976","0.3984","0.3992","0.4","0.4708","0.5416","0.6124","0.6832","0.754","0.8248","0.8956","0.9664","0.9908","1.0152","1.0396","1.064","1.0884","1.0884","1.0884","1.0884","1.0884","1.0884","1.0884","1.0884","1.0884","1.0884","1.0884","1.0884","1.0884","1.0884","1.0884","","",
"Congo, Dem. Rep.","COD","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4761","0.4977","0.5193","0.5409","0.5625","0.5841","0.604","0.6239","0.6438","0.6637","0.6836","0.6836","0.6836","0.6836","0.6836","0.6836","0.6836","0.6836","0.6836","0.6836","0.6836","0.6836","0.6836","0.6836","0.6836","","",
"Congo, Rep.","COG","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.04","0.0404","0.0408","0.0412","0.0416","0.042","0.0424","0.0428","0.0432","0.0436","0.044","0.0444","0.0448","0.0452","0.0456","0.046","0.046","0.046","0.046","0.046","0.046","0.046","0.046","0.046","0.046","0.046","0.046","0.046","0.046","0.046","0.046","0.046","0.046","","",
"Colombia","COL","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.746","8.249","8.75125","9.253875","9.7565","10.259125","10.76175","11.264375","11.77","13.7905434367","15.8180868734","17.8456303101","19.8731737468","21.9007171835","23.9282606202","25.9558040569","27.9833474936","27.9833474936","27.9833474936","27.9833474936","","",
"Comoros","COM","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","","",
"Cabo Verde","CPV","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.02155","0.0228","0.02405","0.0253","0.0253","0.0253","0.0253","0.0253","0.0253","0.0253","0.0253","0.0253","0.0253","0.0253","0.0253","0.0253","0.0253","0.0253","0.0253","","",
"Costa Rica","CRI","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.338321","2.466121","2.74369","3.194018","2.92271","2.44","2.41","2.43","","",
"Caribbean small states","CSS","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.2193","3.4993","4.0193","4.0193","4.0193","4.0193","","",
"Cuba","CUB","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.211","5.2160659091","5.2211318182","5.2261977273","5.2312636364","5.2363295455","5.2409954545","5.2460613636","5.2511272727","5.2561931818","5.2612590909","5.266325","4.9363","5.73785","6.0564","6.01895","6.3321666667","6.6453833333","6.958","6.958","6.958","6.958","6.958","6.958","6.958","","",
"Curacao","CUW","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","0.155","0.1594","0.1638","0.1682","0.1726","0.177","0.1816","0.1862","0.1908","0.1954","0.2","0.2046","0.2104","0.2156","0.2208","0.223","0.218","0.213","0.208","0.2012857143","0.1945714286","0.1878571429","0.1811428571","0.1744285714","0.1677142857","0.161","0.1499428571","0.1707","0.16938","0.16806","0.16674","0.16542","0.1641","0.1605","0.1843","0.2009","0.2208","0.2553","0.2068","0.217","0.232","0.218","0.216","0.207","0.202","","",
"Czechia","CZE","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0324","2.8878","2.7432","2.61785","2.4925","2.37562","2.25874","2.14186","2.02498","1.9081","1.9204","1.9327","1.945","1.9573","1.9696","1.988","1.947","1.951","1.887","1.8404","1.6503","1.65","1.6","1.6348","1.63","1.591","1.953","","",
"Germany","DEU","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.272","49.9484873","49.53953898","49.19992302","48.83088615","47.76515568","47.38274284","45.80673577","45.37060385","44.88727848","43.89921329","42.7784437033","41.6576741167","40.53690453","37.7762696867","35.0156348433","32.26","32.5003333333","32.7456666667","32.99","30.436","27.8806666667","25.326","25.0316666667","24.7373333333","24.443","24.443","24.443","24.443","","",
"Djibouti","DJI","Annual freshwater withdrawals, total (billion cubic meters)","ER.H2O.FWTL.K3","","","","","","","","","","","","","","","","","","","","","","","","","","0.008","0.0087333333","0.0094666667","0.0102","0.0109333333","0.0116666667","0.0124","0.0131333333","0.0138666667","0.0145","0.0153333333","0.0160666667","0.0168","0.0174333333","0.0182666667","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","","",
